pID,pair_type,stimulus,meanEG
032,neg_neut,target,4178.75
032,unj_neg,nontarget,4587.55
032,unj_neg,target,4641.9
032,unj_neut,nontarget,4764.75
032,unj_neut,target,4375.4
034,neg_neut,nontarget,3817.2
034,neg_neut,target,4957
034,unj_neg,nontarget,4156.35
034,unj_neg,target,4777.6
034,unj_neut,nontarget,4944.4
034,unj_neut,target,3884.3
035,neg_neut,nontarget,5092.6
035,neg_neut,target,4057.5
035,unj_neg,nontarget,5436.25
035,unj_neg,target,3772.9
035,unj_neut,nontarget,6041.8
035,unj_neut,target,3022.05
036,neg_neut,nontarget,5629.95
036,neg_neut,target,2992.5
036,unj_neg,nontarget,3927.35
036,unj_neg,target,4839.3
036,unj_neut,nontarget,4964.55
036,unj_neut,target,3701.5
037,neg_neut,nontarget,5343.05
037,neg_neut,target,3812.55
037,unj_neg,nontarget,3927.65
037,unj_neg,target,4894.1
037,unj_neut,nontarget,3984.7
037,unj_neut,target,5035.75
038,neg_neut,nontarget,6080.9
038,neg_neut,target,3262.2
038,unj_neg,nontarget,5959.35
038,unj_neg,target,3283.2
038,unj_neut,nontarget,6186.45
038,unj_neut,target,3054.85
040,neg_neut,nontarget,5139.1
040,neg_neut,target,3549.15
040,unj_neg,nontarget,4354.05
040,unj_neg,target,3242.85
040,unj_neut,nontarget,4773.35
040,unj_neut,target,3152.6
041,neg_neut,nontarget,6153
041,neg_neut,target,3100.25
041,unj_neg,nontarget,5979.65
041,unj_neg,target,3232.15
041,unj_neut,nontarget,6769.55
041,unj_neut,target,2504.95
042,neg_neut,nontarget,3147.1
042,neg_neut,target,5768.85
042,unj_neg,nontarget,4874.5
042,unj_neg,target,3940.2
042,unj_neut,nontarget,4364.55
042,unj_neut,target,4417.55
043,neg_neut,nontarget,3608.25
043,neg_neut,target,3936.65
043,unj_neg,nontarget,3885.65
043,unj_neg,target,4229.05
043,unj_neut,nontarget,4211.65
043,unj_neut,target,3916.2
044,neg_neut,nontarget,4966.6
044,neg_neut,target,4099.5
044,unj_neg,nontarget,5085.4
044,unj_neg,target,3890.85
044,unj_neut,nontarget,5281.1
044,unj_neut,target,3828.55
045,neg_neut,nontarget,4966.9
045,neg_neut,target,2319.95
045,unj_neg,nontarget,4856.05
045,unj_neg,target,3741.35
045,unj_neut,nontarget,5798
045,unj_neut,target,2391.95
046,neg_neut,nontarget,3158.05
046,neg_neut,target,4788.6
046,unj_neg,nontarget,3397.6
046,unj_neg,target,5185.8
046,unj_neut,nontarget,3997.55
046,unj_neut,target,4312.3
047,neg_neut,nontarget,4580.65
047,neg_neut,target,3441.5
047,unj_neg,nontarget,4840.1
047,unj_neg,target,3561.25
047,unj_neut,nontarget,5298.9
047,unj_neut,target,3284.7
048,neg_neut,nontarget,4037.15
048,neg_neut,target,3662.9
048,unj_neg,nontarget,4699.15
048,unj_neg,target,4006.6
048,unj_neut,nontarget,5493.894736842105
048,unj_neut,target,3194.7894736842104
049,neg_neut,nontarget,4657.6
049,neg_neut,target,4084.2
049,unj_neg,nontarget,4666.55
049,unj_neg,target,4150.7
049,unj_neut,nontarget,5745.45
049,unj_neut,target,3200.65
050,neg_neut,nontarget,7772.7
050,neg_neut,target,7832.8
050,unj_neg,nontarget,7943.6
050,unj_neg,target,8500.9
050,unj_neut,nontarget,8699.95
050,unj_neut,target,6902.95
051,neg_neut,nontarget,3695
051,neg_neut,target,2862.55
051,unj_neg,nontarget,3713.5
051,unj_neg,target,3745.2
051,unj_neut,nontarget,5048.4
051,unj_neut,target,3044.9
052,neg_neut,nontarget,6041.05
052,neg_neut,target,1101.15
052,unj_neg,nontarget,4180.2
052,unj_neg,target,3520.2
052,unj_neut,nontarget,5477.9
052,unj_neut,target,1598.3
053,neg_neut,nontarget,4432.15
053,neg_neut,target,4959.35
053,unj_neg,nontarget,4961.85
053,unj_neg,target,4462.3
053,unj_neut,nontarget,5133.45
053,unj_neut,target,4029.55
054,neg_neut,nontarget,4564.7
054,neg_neut,target,3837.95
054,unj_neg,nontarget,4904.3
054,unj_neg,target,3711.85
054,unj_neut,nontarget,5310.05
054,unj_neut,target,3548.95
055,neg_neut,nontarget,5313.45
055,neg_neut,target,3478.75
055,unj_neg,nontarget,4470.65
055,unj_neg,target,4528.35
055,unj_neut,nontarget,5844.65
055,unj_neut,target,3169.25
056,neg_neut,nontarget,3623.15
056,neg_neut,target,5592.7
056,unj_neg,nontarget,4859.55
056,unj_neg,target,4272.8
056,unj_neut,nontarget,4277.6
056,unj_neut,target,4775.35
057,neg_neut,nontarget,4602.7
057,neg_neut,target,4021.4
057,unj_neg,nontarget,4408.25
057,unj_neg,target,3769.9
057,unj_neut,nontarget,5056.2
057,unj_neut,target,3360.6
058,neg_neut,nontarget,8457
058,neg_neut,target,6963.65
058,unj_neg,nontarget,8003.1
058,unj_neg,target,7702.6
058,unj_neut,nontarget,9215
