pID,pair_type,AOI,timeOn
037,unj_neut,nontarget,636.4117647058823
038,neg_neut,target,748.6666666666666
038,neg_neut,nontarget,381.6
038,unj_neg,target,615.1111111111111
038,unj_neg,nontarget,651.5
038,unj_neut,target,786.9
038,unj_neut,nontarget,435.25
040,neg_neut,target,537.9411764705883
040,neg_neut,nontarget,430.47058823529414
040,unj_neg,target,1070.6363636363637
040,unj_neg,nontarget,745
040,unj_neut,target,665.1764705882352
040,unj_neut,nontarget,769.8235294117648
041,neg_neut,target,633.7647058823529
041,neg_neut,nontarget,571.6666666666666
041,unj_neg,target,522.25
041,unj_neg,nontarget,1012.8125
041,unj_neut,target,791.0666666666667
041,unj_neut,nontarget,861.5333333333333
042,neg_neut,target,669.5
042,neg_neut,nontarget,1014.9375
042,unj_neg,target,837.8421052631579
042,unj_neg,nontarget,858.5263157894736
042,unj_neut,target,1404.5
042,unj_neut,nontarget,1477.8235294117646
043,neg_neut,target,977.2307692307693
043,neg_neut,nontarget,727.6923076923077
043,unj_neg,target,835.8666666666667
043,unj_neg,nontarget,1057.6666666666667
043,unj_neut,target,1426.3333333333333
043,unj_neut,nontarget,574.8
044,neg_neut,target,778.2142857142857
044,neg_neut,nontarget,707.6428571428571
044,unj_neg,target,577.6153846153846
044,unj_neg,nontarget,787
044,unj_neut,target,1509.7272727272727
044,unj_neut,nontarget,908.9090909090909
045,neg_neut,target,628.7142857142857
045,neg_neut,nontarget,478.14285714285717
045,unj_neg,target,567.5714285714286
045,unj_neg,nontarget,460.625
045,unj_neut,target,1018.2142857142857
045,unj_neut,nontarget,558.2
046,neg_neut,target,728.2142857142857
046,neg_neut,nontarget,575.2857142857143
046,unj_neg,target,856.3076923076923
046,unj_neg,nontarget,582.4615384615385
046,unj_neut,target,846.7222222222222
046,unj_neut,nontarget,978.5
047,neg_neut,target,1072.3636363636363
047,neg_neut,nontarget,663.6363636363636
047,unj_neg,target,1450.2
047,unj_neg,nontarget,987.6
047,unj_neut,target,1033
047,unj_neut,nontarget,770.7333333333333
048,neg_neut,target,673.875
048,neg_neut,nontarget,497.125
048,unj_neg,target,490
048,unj_neg,nontarget,659.125
048,unj_neut,target,771.4166666666666
048,unj_neut,nontarget,646.5
049,neg_neut,target,979.421052631579
049,neg_neut,nontarget,667.9473684210526
049,unj_neg,target,811.2666666666667
049,unj_neg,nontarget,685.6
049,unj_neut,target,831.0588235294117
049,unj_neut,nontarget,773.1176470588235
050,neg_neut,target,629.2222222222222
050,neg_neut,nontarget,608.1111111111111
050,unj_neg,target,461
050,unj_neg,nontarget,1208
050,unj_neut,target,3009.3
050,unj_neut,nontarget,708.4
051,neg_neut,target,611.125
051,neg_neut,nontarget,649.125
051,unj_neg,target,368
051,unj_neg,nontarget,1352.4166666666667
051,unj_neut,target,947.1818181818181
051,unj_neut,nontarget,731
052,neg_neut,target,784.2
052,neg_neut,nontarget,416.54545454545456
052,unj_neg,target,612.4285714285714
052,unj_neg,nontarget,1103.6
052,unj_neut,target,1580.5384615384614
052,unj_neut,nontarget,733.6923076923077
053,neg_neut,target,578.1052631578947
053,neg_neut,nontarget,598.7894736842105
053,unj_neg,target,570.4
053,unj_neg,nontarget,764.5
053,unj_neut,target,796.9473684210526
053,unj_neut,nontarget,493.4736842105263
054,neg_neut,target,1128
054,neg_neut,nontarget,393.5882352941176
054,unj_neg,target,713
054,unj_neg,nontarget,943.7368421052631
054,unj_neut,target,1009.6666666666666
054,unj_neut,nontarget,735.3888888888889
055,neg_neut,target,474.2631578947368
055,neg_neut,nontarget,714.3157894736842
055,unj_neg,target,448.2
055,unj_neg,nontarget,1159.7
055,unj_neut,target,1287.5263157894738
055,unj_neut,nontarget,524.6842105263158
056,neg_neut,target,645.2105263157895
056,neg_neut,nontarget,685
056,unj_neg,target,771.0588235294117
056,unj_neg,nontarget,786.7647058823529
056,unj_neut,target,883.3684210526316
056,unj_neut,nontarget,1204.7894736842106
057,neg_neut,target,1188.6875
057,neg_neut,nontarget,647.5
057,unj_neg,target,585.1176470588235
057,unj_neg,nontarget,1300.8235294117646
057,unj_neut,target,1472.8333333333333
057,unj_neut,nontarget,823.1666666666666
058,neg_neut,target,1241.9473684210527
058,neg_neut,nontarget,540.7894736842105
058,unj_neg,target,1243.7368421052631
058,unj_neg,nontarget,958.6315789473684
058,unj_neut,target,882.5882352941177
058,unj_neut,nontarget,875.9411764705883
059,neg_neut,target,1275.2941176470588
059,neg_neut,nontarget,500
059,unj_neg,target,679.5294117647059
059,unj_neg,nontarget,1063.5882352941176
059,unj_neut,target,755.3529411764706
059,unj_neut,nontarget,657.7647058823529
060,neg_neut,target,988.7272727272727
060,neg_neut,nontarget,768.1818181818181
060,unj_neg,target,812.5555555555555
060,unj_neg,nontarget,744.4444444444445
060,unj_neut,target,1053
060,unj_neut,nontarget,689
061,neg_neut,target,866.9473684210526
061,neg_neut,nontarget,429.2631578947368
061,unj_neg,target,538.8421052631579
061,unj_neg,nontarget,1039.4736842105262
061,unj_neut,target,812.7368421052631
061,unj_neut,nontarget,796.3684210526316
062,neg_neut,target,883.4
062,neg_neut,nontarget,864.6
062,unj_neg,target,1058.75
062,unj_neg,nontarget,1593.25
062,unj_neut,target,1136.5
062,unj_neut,nontarget,435
063,neg_neut,target,805.3333333333334
063,neg_neut,nontarget,601.9166666666666
063,unj_neg,target,1104.7333333333333
063,unj_neg,nontarget,1059.8666666666666
063,unj_neut,target,968
063,unj_neut,nontarget,681.2666666666667
064,neg_neut,target,1249.4375
064,neg_neut,nontarget,985.875
064,unj_neg,target,1020.4
064,unj_neg,nontarget,1650.2666666666667
064,unj_neut,target,1830.1764705882354
064,unj_neut,nontarget,1450.4705882352941
065,neg_neut,target,738.3571428571429
065,neg_neut,nontarget,386.64285714285717
065,unj_neg,target,532
065,unj_neg,nontarget,672.4705882352941
065,unj_neut,target,941.8947368421053
065,unj_neut,nontarget,472.2105263157895
066,neg_neut,target,732.875
066,neg_neut,nontarget,747.4375
066,unj_neg,target,868.5555555555555
066,unj_neg,nontarget,1144.7777777777778
066,unj_neut,target,796.2941176470588
066,unj_neut,nontarget,823.2352941176471
067,neg_neut,target,1038.2941176470588
067,neg_neut,nontarget,756.4117647058823
067,unj_neg,target,960.8235294117648
067,unj_neg,nontarget,758.8823529411765
067,unj_neut,target,936.8947368421053
067,unj_neut,nontarget,1156
068,neg_neut,target,929.9411764705883
068,neg_neut,nontarget,581.9411764705883
068,unj_neg,target,771.0666666666667
068,unj_neg,nontarget,1763.3333333333333
068,unj_neut,target,916.6666666666666
068,unj_neut,nontarget,934.6666666666666
069,neg_neut,target,901.9
069,neg_neut,nontarget,891.5
069,unj_neg,target,839.25
069,unj_neg,nontarget,906.4
069,unj_neut,target,627.8
069,unj_neut,nontarget,818.2
070,neg_neut,target,622.75
070,neg_neut,nontarget,480.35
070,unj_neg,target,756.578947368421
070,unj_neg,nontarget,672
070,unj_neut,target,823.421052631579
070,unj_neut,nontarget,587.1052631578947
071,neg_neut,target,549.5294117647059
071,neg_neut,nontarget,539.4117647058823
071,unj_neg,target,622.2777777777778
071,unj_neg,nontarget,1047
071,unj_neut,target,1143.5
071,unj_neut,nontarget,675.6
072,neg_neut,target,619.1428571428571
072,neg_neut,nontarget,606.5
072,unj_neg,target,578.75
072,unj_neg,nontarget,1394.9166666666667
072,unj_neut,target,976.4705882352941
072,unj_neut,nontarget,719.2941176470588
073,neg_neut,target,643.25
073,neg_neut,nontarget,745.6
073,unj_neg,target,903.7
073,unj_neg,nontarget,1189.15
073,unj_neut,target,945.45
073,unj_neut,nontarget,787.1
074,neg_neut,target,601.8947368421053
074,neg_neut,nontarget,397.4736842105263
074,unj_neg,target,645.6
074,unj_neg,nontarget,727.2
074,unj_neut,target,877.4
074,unj_neut,nontarget,725.4666666666667
075,neg_neut,target,666.9
075,neg_neut,nontarget,836.3
075,unj_neg,target,821.4285714285714
075,unj_neg,nontarget,1123.7142857142858
075,unj_neut,target,1167.2666666666667
075,unj_neut,nontarget,1195.6
076,neg_neut,target,741.0555555555555
076,neg_neut,nontarget,646.2222222222222
076,unj_neg,target,902.35
076,unj_neg,nontarget,894.25
076,unj_neut,target,1017.0526315789474
076,unj_neut,nontarget,662.1578947368421
077,neg_neut,target,738.3571428571429
077,neg_neut,nontarget,996.2142857142857
077,unj_neg,target,647.75
077,unj_neg,nontarget,787.75
077,unj_neut,target,509.25
077,unj_neut,nontarget,1435
078,neg_neut,target,1030.2727272727273
078,neg_neut,nontarget,687.2727272727273
078,unj_neg,target,884.1666666666666
078,unj_neg,nontarget,777.1111111111111
078,unj_neut,target,734.8461538461538
078,unj_neut,nontarget,884.5384615384615
079,neg_neut,target,1532
079,neg_neut,nontarget,390.3333333333333
079,unj_neg,target,721
079,unj_neg,nontarget,434.25
079,unj_neut,target,2840
079,unj_neut,nontarget,200
080,neg_neut,target,729.3846153846154
080,neg_neut,nontarget,498.9230769230769
080,unj_neg,target,620.6
080,unj_neg,nontarget,748.3
080,unj_neut,target,654.3333333333334
080,unj_neut,nontarget,774.5833333333334
081,neg_neut,target,925.7894736842105
081,neg_neut,nontarget,487.6842105263158
081,unj_neg,target,365.1578947368421
081,unj_neg,nontarget,1025.1052631578948
081,unj_neut,target,869.5263157894736
081,unj_neut,nontarget,687.2105263157895
083,neg_neut,target,512.1666666666666
083,neg_neut,nontarget,1091.4166666666667
083,unj_neg,target,1346.5
083,unj_neg,nontarget,1463.6666666666667
083,unj_neut,target,553.5
083,unj_neut,nontarget,1187
084,neg_neut,target,906.1111111111111
084,neg_neut,nontarget,475.6111111111111
084,unj_neg,target,638
084,unj_neg,nontarget,1001.875
084,unj_neut,target,885.8666666666667
084,unj_neut,nontarget,659.6666666666666
085,neg_neut,target,555.2222222222222
085,neg_neut,nontarget,1094.111111111111
085,unj_neg,target,1937.75
085,unj_neg,nontarget,679.75
085,unj_neut,target,3279.5
085,unj_neut,nontarget,263.5
086,neg_neut,target,1128.0526315789473
086,neg_neut,nontarget,614.6315789473684
086,unj_neg,target,831.65
086,unj_neg,nontarget,595.8
086,unj_neut,target,807.15
086,unj_neut,nontarget,758.85
087,neg_neut,target,605.8
087,neg_neut,nontarget,827.8
087,unj_neg,target,1417.25
087,unj_neg,nontarget,1173.25
087,unj_neut,target,971.4
087,unj_neut,nontarget,715.2
092,neg_neut,target,764.6666666666666
092,neg_neut,nontarget,573.6666666666666
092,unj_neg,target,608.7272727272727
092,unj_neg,nontarget,1154.909090909091
092,unj_neut,target,916
092,unj_neut,nontarget,827
093,neg_neut,target,930.65
093,neg_neut,nontarget,470.1
093,unj_neg,target,1001.8947368421053
093,unj_neg,nontarget,627.2631578947369
093,unj_neut,target,902.2631578947369
093,unj_neut,nontarget,683.1052631578947
094,neg_neut,target,993.8181818181819
094,neg_neut,nontarget,664.1818181818181
094,unj_neg,target,556
094,unj_neg,nontarget,1329.8181818181818
094,unj_neut,target,980.3571428571429
094,unj_neut,nontarget,683.2857142857143
095,neg_neut,target,1038.35
095,neg_neut,nontarget,568.3
095,unj_neg,target,807.5
095,unj_neg,nontarget,1255.2
095,unj_neut,target,807.15
095,unj_neut,nontarget,1051.8
096,neg_neut,target,551.6666666666666
096,neg_neut,nontarget,455.1666666666667
096,unj_neg,target,773.2666666666667
096,unj_neg,nontarget,731.9333333333333
096,unj_neut,target,763.1538461538462
096,unj_neut,nontarget,837
097,neg_neut,target,711.1
097,neg_neut,nontarget,608.9
097,unj_neg,target,669.35
097,unj_neg,nontarget,1016.45
097,unj_neut,target,943.7222222222222
097,unj_neut,nontarget,654.8888888888889
098,neg_neut,target,1467.9166666666667
098,neg_neut,nontarget,760.75
098,unj_neg,target,922.7272727272727
098,unj_neg,nontarget,777.4166666666666
098,unj_neut,target,812.4545454545455
098,unj_neut,nontarget,1225.909090909091
099,neg_neut,target,1086.2631578947369
099,neg_neut,nontarget,436.94736842105266
099,unj_neg,target,490.65
099,unj_neg,nontarget,690.8
099,unj_neut,target,579.3888888888889
099,unj_neut,nontarget,611.7222222222222
101,neg_neut,target,584
101,neg_neut,nontarget,704
101,unj_neg,target,556.3333333333334
101,unj_neg,nontarget,710
101,unj_neut,target,305.2857142857143
101,unj_neut,nontarget,1032.2857142857142
102,neg_neut,target,1957.111111111111
102,neg_neut,nontarget,504.1111111111111
102,unj_neg,target,491.4375
102,unj_neg,nontarget,930.3529411764706
102,unj_neut,target,910.5333333333333
102,unj_neut,nontarget,987.9375
103,neg_neut,target,656.25
103,neg_neut,nontarget,727.375
103,unj_neg,target,621.1818181818181
103,unj_neg,nontarget,757.7272727272727
103,unj_neut,target,642.2
103,unj_neut,nontarget,638.6
